#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,Animal_name,_field,_measurement,airborne
,,67,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,catsize,zoo-data,0
,,68,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T17:31:40.055035773Z,1,kiwi,breathes,zoo-data,0
,,69,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,1,carp,toothed,zoo-data,0
,,70,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T20:43:27.374793615Z,2,lark,type,zoo-data,1
,,71,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,1,carp,domestic,zoo-data,0
,,72,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T22:19:21.034672537Z,1,leopard,backbone,zoo-data,0
,,73,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,milk,zoo-data,0
,,74,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T22:19:21.034672537Z,1,leopard,catsize,zoo-data,0
,,75,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,domestic,zoo-data,0
,,76,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T23:55:14.694551458Z,0,lion,feathers,zoo-data,0
,,77,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,milk,zoo-data,0
,,78,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,1,cavy,milk,zoo-data,0
,,79,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-03T23:55:14.694551458Z,1,lion,backbone,zoo-data,0
,,80,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,hair,zoo-data,0
,,81,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,predator,zoo-data,0
,,82,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T01:31:08.354430379Z,0,lobster,feathers,zoo-data,0
,,83,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,1,carp,backbone,zoo-data,0
,,84,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,1,cavy,backbone,zoo-data,0
,,85,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T01:31:08.354430379Z,0,lobster,catsize,zoo-data,0
,,86,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,catsize,zoo-data,0
,,87,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,predator,zoo-data,0
,,88,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T03:07:02.014309301Z,1,lynx,catsize,zoo-data,0
,,89,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,1,catfish,eggs,zoo-data,0
,,90,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,1,cheetah,breathes,zoo-data,0
,,91,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T06:18:49.334067143Z,1,mole,breathes,zoo-data,0
,,92,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,1,cavy,hair,zoo-data,0
,,93,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,4,cheetah,legs,zoo-data,0
,,94,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T06:18:49.334067143Z,0,mole,catsize,zoo-data,0
,,95,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,1,cavy,toothed,zoo-data,0
,,96,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,1,chicken,feathers,zoo-data,1
,,97,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T07:54:42.993946064Z,1,mongoose,backbone,zoo-data,0
,,98,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,venomous,zoo-data,0
,,99,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,1,chicken,backbone,zoo-data,1
,,100,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T09:30:36.653824986Z,0,moth,feathers,zoo-data,1
,,101,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,4,cavy,legs,zoo-data,0
,,102,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,1,chub,eggs,zoo-data,0
,,103,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T09:30:36.653824986Z,0,moth,toothed,zoo-data,1
,,104,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,toothed,zoo-data,1
,,105,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,feathers,zoo-data,0
,,106,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T09:30:36.653824986Z,0,moth,tail,zoo-data,1
,,107,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,fins,zoo-data,1
,,108,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,0,calf,predator,zoo-data,0
,,109,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,toothed,zoo-data,0
,,110,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T11:06:30.313703907Z,0,newt,milk,zoo-data,0
,,111,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,2,chicken,type,zoo-data,1
,,112,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,tail,zoo-data,0
,,113,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,1,crayfish,predator,zoo-data,0
,,114,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T12:42:23.973582828Z,0,octopus,breathes,zoo-data,0
,,115,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,legs,zoo-data,0
,,116,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,type,zoo-data,0
,,117,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,venomous,zoo-data,0
,,118,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T12:42:23.973582828Z,0,octopus,venomous,zoo-data,0
,,119,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,0,clam,tail,zoo-data,0
,,120,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,1,carp,aquatic,zoo-data,0
,,121,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,0,deer,feathers,zoo-data,0
,,122,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T12:42:23.973582828Z,7,octopus,type,zoo-data,0
,,123,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T20:46:37.578425976Z,7,clam,type,zoo-data,0
,,124,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,1,carp,fins,zoo-data,0
,,125,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,0,calf,venomous,zoo-data,0
,,126,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,0,deer,domestic,zoo-data,0
,,127,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T14:18:17.63346175Z,1,opossum,hair,zoo-data,0
,,128,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,backbone,zoo-data,0
,,129,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,1,catfish,predator,zoo-data,0
,,130,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,4,carp,type,zoo-data,0
,,131,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,1,dogfish,toothed,zoo-data,0
,,132,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T14:18:17.63346175Z,1,opossum,milk,zoo-data,0
,,133,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,breathes,zoo-data,0
,,134,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,1,catfish,toothed,zoo-data,0
,,135,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,1,catfish,tail,zoo-data,0
,,136,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T06:21:59.537699504Z,1,dolphin,tail,zoo-data,0
,,137,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T14:18:17.63346175Z,0,opossum,venomous,zoo-data,0
,,138,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T22:22:31.238304898Z,0,crab,tail,zoo-data,0
,,139,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,breathes,zoo-data,0
,,140,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,1,cavy,domestic,zoo-data,0
,,141,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,1,dove,feathers,zoo-data,1
,,142,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T15:54:11.293340671Z,1,oryx,toothed,zoo-data,0
,,143,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,breathes,zoo-data,0
,,144,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,0,calf,eggs,zoo-data,0
,,145,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,legs,zoo-data,0
,,146,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,0,cavy,catsize,zoo-data,0
,,147,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,0,dove,predator,zoo-data,1
,,148,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T15:54:11.293340671Z,1,oryx,tail,zoo-data,0
,,149,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T23:58:24.898183819Z,0,crayfish,domestic,zoo-data,0
,,150,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,0,calf,aquatic,zoo-data,0
,,151,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T14:23:02.938910291Z,1,cavy,breathes,zoo-data,0
,,152,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,venomous,zoo-data,1
,,153,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T07:57:53.197578425Z,2,dove,type,zoo-data,1
,,154,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T15:54:11.293340671Z,0,oryx,domestic,zoo-data,0
,,155,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,0,crow,venomous,zoo-data,1
,,156,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,backbone,zoo-data,0
,,157,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,0,cheetah,feathers,zoo-data,0
,,158,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,2,chicken,legs,zoo-data,1
,,159,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,1,duck,aquatic,zoo-data,1
,,160,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T17:30:04.953219592Z,0,ostrich,toothed,zoo-data,0
,,161,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T01:34:18.55806274Z,2,crow,legs,zoo-data,1
,,162,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,0,carp,venomous,zoo-data,0
,,163,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T15:58:56.598789212Z,0,cheetah,eggs,zoo-data,0
,,164,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,hair,zoo-data,0
,,165,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T09:33:46.857457347Z,0,duck,domestic,zoo-data,1
,,166,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T19:05:58.613098514Z,0,parakeet,hair,zoo-data,1
,,167,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T03:10:12.217941662Z,1,deer,milk,zoo-data,0
,,168,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T11:11:15.619152449Z,1,carp,tail,zoo-data,0
,,169,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T17:34:50.258668134Z,0,chicken,predator,zoo-data,1
,,170,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,1,calf,hair,zoo-data,0
,,171,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,milk,zoo-data,0
,,172,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,1,elephant,breathes,zoo-data,0
,,173,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T19:05:58.613098514Z,0,parakeet,fins,zoo-data,1
,,174,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,0,dogfish,hair,zoo-data,0
,,175,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,1,catfish,fins,zoo-data,0
,,176,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,feathers,zoo-data,0
,,177,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T09:35:21.959273527Z,0,calf,feathers,zoo-data,0
,,178,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,0,chub,breathes,zoo-data,0
,,179,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T11:09:40.517336268Z,4,elephant,legs,zoo-data,0
,,180,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-04T20:41:52.272977435Z,0,penguin,hair,zoo-data,0
,,181,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-02T04:46:05.877820583Z,0,dogfish,milk,zoo-data,0
,,182,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T12:47:09.27903137Z,0,catfish,catsize,zoo-data,0
,,183,2020-01-01T08:00:00Z,2020-08-21T15:44:03.401997Z,2020-01-01T19:10:43.918547055Z,1,chub,tail,zoo-data,0
